               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,             0.03725,            0.026998,           0.0038405,             0.75682,             0.61672,             0.68074,             0.29108,            0.044929,            0.030094,           0.0084191,            0.001783,            0.001783,            0.001783
                  85,            0.037303,            0.026373,           0.0035871,             0.75165,             0.61469,             0.66756,             0.28108,            0.045409,            0.030182,           0.0090679,            0.001684,            0.001684,            0.001684
                  86,            0.036927,            0.025888,           0.0034068,             0.76697,              0.6031,             0.67467,             0.28045,            0.045447,             0.03016,           0.0091514,            0.001585,            0.001585,            0.001585
                  87,            0.036827,            0.025933,           0.0037426,             0.74531,             0.62038,             0.67078,             0.27882,            0.045522,            0.030187,           0.0093633,            0.001486,            0.001486,            0.001486
                  88,            0.036696,            0.026776,           0.0035138,             0.74166,             0.62353,             0.66852,             0.28632,            0.045223,            0.030319,           0.0091278,            0.001387,            0.001387,            0.001387
                  89,             0.03689,            0.026533,           0.0035172,             0.77051,             0.61656,             0.67474,              0.2847,            0.045306,             0.03021,           0.0092864,            0.001288,            0.001288,            0.001288
                  90,            0.036639,            0.025828,           0.0034943,             0.75625,             0.61533,             0.67458,             0.28097,            0.045409,            0.030421,           0.0087269,            0.001189,            0.001189,            0.001189
                  91,             0.03703,            0.026359,           0.0035152,             0.77037,              0.6132,             0.67395,             0.28328,            0.045225,            0.030034,           0.0092295,             0.00109,             0.00109,             0.00109
                  92,            0.036716,            0.026166,           0.0033153,             0.76169,             0.62995,             0.67683,             0.28596,             0.04516,            0.029989,           0.0092872,            0.000991,            0.000991,            0.000991
                  93,            0.036317,            0.025594,           0.0033957,             0.75094,             0.60838,             0.67122,             0.28537,            0.044918,            0.030032,           0.0094496,            0.000892,            0.000892,            0.000892
                  94,            0.036384,            0.026329,           0.0031564,             0.75592,             0.62182,             0.67565,             0.28347,            0.045347,            0.030037,           0.0088851,            0.000793,            0.000793,            0.000793
                  95,            0.036178,             0.02596,           0.0033794,             0.75904,             0.61878,             0.67204,             0.28431,            0.045257,            0.030117,           0.0087388,            0.000694,            0.000694,            0.000694
                  96,            0.036376,            0.026078,           0.0031706,             0.77316,             0.61192,             0.67755,             0.27844,            0.045369,            0.030158,           0.0089597,            0.000595,            0.000595,            0.000595
                  97,            0.036053,              0.0261,           0.0031744,             0.74969,             0.63422,             0.68167,             0.28715,            0.044989,            0.030078,           0.0087814,            0.000496,            0.000496,            0.000496
                  98,             0.03613,            0.025768,           0.0032549,             0.77731,             0.61546,              0.6784,             0.28753,            0.045146,             0.03007,           0.0088818,            0.000397,            0.000397,            0.000397
                  99,            0.035745,            0.025505,            0.003306,             0.77106,             0.62037,             0.68167,             0.29065,            0.044892,            0.030012,           0.0090173,            0.000298,            0.000298,            0.000298
